"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"7922",1,2,"YES",NA,"YES",NA,1,5
"7923",1,2,"YES",NA,"YES",NA,1,6
"7924",1,2,"YES",NA,"YES",NA,1,5
"7925",1,2,"YES",NA,"YES",NA,1,6
"7926",2,2,"YES",NA,"YES",NA,1,6
"7927",1,2,"YES",NA,"YES",NA,2,5
"7928",1,2,"YES",NA,"YES",NA,2,5
"7929",2,NA,"YES",NA,"NO",1,1,6
"7930",2,2,"NO",1,"NO",1,1,6
"7931",1,2,"NO",1,"NO",1,1,5
"7932",1,2,"NO",2,"YES",NA,1,6
"7933",2,2,"NO",2,"YES",NA,1,4
"7934",2,2,"NO",2,"YES",NA,1,7
"7935",1,2,"YES",NA,"YES",NA,1,6
"7936",1,2,"YES",NA,"YES",NA,1,5
"7937",1,2,"YES",NA,"YES",NA,1,4
"7938",1,2,"YES",NA,"YES",NA,1,7
"7939",1,2,"YES",NA,"YES",NA,1,6
"7940",1,2,"YES",NA,"YES",NA,1,6
"7941",2,2,"YES",NA,"YES",NA,1,NA
"7942",2,2,"YES",NA,"YES",NA,1,3
"7943",2,2,"YES",NA,"YES",NA,1,7
"7944",1,2,"NO",1,"YES",NA,1,7
"7945",1,2,"NO",1,"YES",NA,1,7
"7946",1,2,"NO",1,"YES",NA,1,2
"7947",1,2,"NO",1,"YES",NA,1,5
"7948",2,1,"YES",NA,"YES",NA,1,3
"7949",2,1,"YES",NA,"YES",NA,1,4
"7950",1,2,"NO",1,"NO",1,2,5
"7951",1,2,"YES",NA,"YES",NA,1,5
"7952",2,2,"YES",NA,"YES",NA,1,3
"7953",2,2,"YES",NA,"YES",NA,1,4
"7954",1,2,"YES",NA,"YES",NA,1,3
"7955",1,2,"YES",NA,"YES",NA,1,7
"7956",1,2,"YES",NA,"YES",NA,2,4
"7957",1,2,"YES",NA,"YES",NA,2,6
"7958",2,2,"NO",2,"YES",NA,2,4
"7959",2,2,"NO",2,"YES",NA,2,5
